PRECINCT,BEAT,HOMICIDE,RAPE,ROBBERY,ASSAULT,VIOLENT_CRIMES_TOTAL,BURGLARY,LARCENY_THEFT,VEHICLE_THEFT,PROPERTY_CRIMES_TOTAL,MAJOR_CRIMES_TOTAL,REPORT_DATE
CITYWIDE,,1,8,129,187,325,647,1965,443,3055,3242,01/31/2014
UNKNOWN,,0,0,0,7,7,1,6,0,7,14,01/31/2014
NORTH,,0,0,17,36,53,232,627,151,1010,1046,01/31/2014
NORTH,B1,0,0,2,0,2,17,30,8,55,55,01/31/2014
NORTH,B2,0,0,2,1,3,7,35,4,46,47,01/31/2014
NORTH,B3,0,0,1,1,2,21,49,11,81,82,01/31/2014
NORTH,J1,0,0,0,3,3,8,51,8,67,70,01/31/2014
NORTH,J2,0,0,1,5,6,14,53,8,75,80,01/31/2014
NORTH,J3,0,0,0,2,2,31,38,16,85,87,01/31/2014
NORTH,L1,0,0,4,2,6,13,38,8,59,61,01/31/2014
NORTH,L2,0,0,1,3,4,9,34,11,54,57,01/31/2014
NORTH,L3,0,0,0,2,2,17,27,8,52,54,01/31/2014
NORTH,N1,0,0,1,3,4,18,39,6,63,66,01/31/2014
NORTH,N2,0,0,2,6,8,16,21,9,46,52,01/31/2014
NORTH,N3,0,0,0,3,3,12,64,21,97,100,01/31/2014
NORTH,U1,0,0,1,1,2,18,31,14,63,64,01/31/2014
NORTH,U2,0,0,1,3,4,18,67,11,96,99,01/31/2014
NORTH,U3,0,0,1,1,2,13,50,8,71,72,01/31/2014
WEST,,1,6,47,47,101,109,623,69,801,848,01/31/2014
WEST,D1,0,1,3,3,7,17,69,6,92,95,01/31/2014
WEST,D2,0,0,2,2,4,9,35,8,52,54,01/31/2014
WEST,D3,0,1,5,1,7,4,48,8,60,61,01/31/2014
WEST,K1,0,0,11,2,13,1,72,2,75,77,01/31/2014
WEST,K2,0,0,6,11,17,12,49,5,66,77,01/31/2014
WEST,K3,1,0,3,11,15,5,67,4,76,87,01/31/2014
WEST,M1,0,3,1,10,14,7,40,1,48,58,01/31/2014
WEST,M2,0,1,7,5,13,5,69,7,81,86,01/31/2014
WEST,M3,0,0,5,2,7,10,73,4,87,89,01/31/2014
WEST,Q1,0,0,1,0,1,10,21,7,38,38,01/31/2014
WEST,Q2,0,0,1,0,1,14,40,7,61,61,01/31/2014
WEST,Q3,0,0,2,0,2,15,40,10,65,65,01/31/2014
EAST,,0,1,19,33,53,86,322,68,476,509,01/31/2014
EAST,C1,0,0,0,1,1,13,34,13,60,61,01/31/2014
EAST,C2,0,0,1,4,5,13,36,9,58,62,01/31/2014
EAST,C3,0,0,1,4,5,14,35,5,54,58,01/31/2014
EAST,E1,0,0,5,3,8,9,27,13,49,52,01/31/2014
EAST,E2,0,0,3,8,11,4,75,6,85,93,01/31/2014
EAST,E3,0,0,4,4,8,2,26,3,31,35,01/31/2014
EAST,G1,0,1,0,5,6,5,23,6,34,39,01/31/2014
EAST,G2,0,0,4,2,6,15,39,8,62,64,01/31/2014
EAST,G3,0,0,1,2,3,11,27,5,43,45,01/31/2014
SOUTH,,0,0,40,44,84,166,239,103,508,552,01/31/2014
SOUTH,O1,0,0,4,2,6,10,23,23,56,58,01/31/2014
SOUTH,O2,0,0,3,4,7,9,48,5,62,66,01/31/2014
SOUTH,O3,0,0,2,9,11,18,22,6,46,55,01/31/2014
SOUTH,R1,0,0,4,6,10,41,29,3,73,79,01/31/2014
SOUTH,R2,0,0,4,3,7,28,26,13,67,70,01/31/2014
SOUTH,R3,0,0,7,3,10,19,23,15,57,60,01/31/2014
SOUTH,S1,0,0,4,5,9,16,15,14,45,50,01/31/2014
SOUTH,S2,0,0,10,8,18,16,33,8,57,65,01/31/2014
SOUTH,S3,0,0,2,4,6,9,20,16,45,49,01/31/2014
SW,,0,1,6,20,27,53,148,52,253,273,01/31/2014
SW,F1,0,0,0,4,4,8,13,7,28,32,01/31/2014
SW,F2,0,1,0,4,5,11,33,7,51,55,01/31/2014
SW,F3,0,0,3,6,9,6,28,14,48,54,01/31/2014
SW,W1,0,0,0,1,1,11,25,7,43,44,01/31/2014
SW,W2,0,0,2,2,4,9,22,8,39,41,01/31/2014
SW,W3,0,0,1,3,4,8,27,9,44,47,01/31/2014
CITYWIDE,,2,9,79,153,243,499,1450,370,2319,2562,02/28/2014
UNKNOWN,,0,1,0,3,4,1,11,0,12,16,02/28/2014
NORTH,,1,3,17,29,50,206,432,149,787,837,02/28/2014
NORTH,B1,0,0,1,3,4,10,14,10,34,38,02/28/2014
NORTH,B2,0,0,0,3,3,12,24,4,40,43,02/28/2014
NORTH,B3,1,0,0,0,1,13,38,15,66,67,02/28/2014
NORTH,J1,0,0,0,0,0,13,43,7,63,63,02/28/2014
NORTH,J2,0,2,2,2,6,15,36,12,63,69,02/28/2014
NORTH,J3,0,0,0,3,3,16,27,15,58,61,02/28/2014
NORTH,L1,0,0,1,0,1,13,20,7,40,41,02/28/2014
NORTH,L2,0,0,1,2,3,21,16,12,49,52,02/28/2014
NORTH,L3,0,0,0,2,2,19,23,8,50,52,02/28/2014
NORTH,N1,0,1,3,2,6,12,30,9,51,57,02/28/2014
NORTH,N2,0,0,2,3,5,14,14,8,36,41,02/28/2014
NORTH,N3,0,0,2,0,2,6,49,17,72,74,02/28/2014
NORTH,U1,0,0,0,1,1,11,15,7,33,34,02/28/2014
NORTH,U2,0,0,2,5,7,12,50,10,72,79,02/28/2014
NORTH,U3,0,0,3,3,6,19,33,8,60,66,02/28/2014
WEST,,1,0,25,48,74,89,453,64,606,680,02/28/2014
WEST,D1,0,0,0,2,2,9,53,10,72,74,02/28/2014
WEST,D2,0,0,2,5,7,7,35,9,51,58,02/28/2014
WEST,D3,0,0,0,5,5,2,24,7,33,38,02/28/2014
WEST,K1,1,0,9,6,16,3,50,2,55,71,02/28/2014
WEST,K2,0,0,2,7,9,5,36,2,43,52,02/28/2014
WEST,K3,0,0,2,6,8,13,53,4,70,78,02/28/2014
WEST,M1,0,0,2,3,5,3,20,0,23,28,02/28/2014
WEST,M2,0,0,3,4,7,7,52,5,64,71,02/28/2014
WEST,M3,0,0,1,2,3,6,51,3,60,63,02/28/2014
WEST,Q1,0,0,0,2,2,7,18,3,28,30,02/28/2014
WEST,Q2,0,0,2,2,4,11,34,11,56,60,02/28/2014
WEST,Q3,0,0,2,4,6,16,27,8,51,57,02/28/2014
EAST,,0,2,7,22,31,60,226,52,338,369,02/28/2014
EAST,C1,0,1,0,1,2,11,17,10,38,40,02/28/2014
EAST,C2,0,0,0,2,2,1,38,10,49,51,02/28/2014
EAST,C3,0,0,0,0,0,6,26,6,38,38,02/28/2014
EAST,E1,0,0,1,5,6,13,19,4,36,42,02/28/2014
EAST,E2,0,0,2,4,6,10,56,4,70,76,02/28/2014
EAST,E3,0,0,2,1,3,9,21,4,34,37,02/28/2014
EAST,G1,0,0,1,2,3,2,19,3,24,27,02/28/2014
EAST,G2,0,0,1,2,3,5,14,7,26,29,02/28/2014
EAST,G3,0,1,0,5,6,3,16,4,23,29,02/28/2014
SOUTH,,0,1,24,35,60,94,224,77,395,455,02/28/2014
SOUTH,O1,0,0,1,3,4,6,26,9,41,45,02/28/2014
SOUTH,O2,0,0,1,0,1,8,29,3,40,41,02/28/2014
SOUTH,O3,0,0,1,5,6,6,13,7,26,32,02/28/2014
SOUTH,R1,0,0,0,6,6,18,36,11,65,71,02/28/2014
